symbol,entry_date,exit_date,entry_price,exit_price,size,pnl,exit_reason,return_pct,days_held,hold_time_minutes,highest_price,mae,mfe,is_premarket_entry,gap_percent,pattern_strength
ACON,2024-01-04 14:29:00+00:00,2024-01-04 14:42:00+00:00,4.5,3.8452,30,-19.643999999999995,stop_loss,-14.551111111111107,0,13.0,4.89,38.66666666666667,8.66666666666666,True,1220.2042304886945,6.518369182418538
JSPR,2024-01-04 15:34:00+00:00,2024-01-04 16:05:00+00:00,6.635,6.6499,110,1.6389999999999905,max_hold_time,0.2245666917859821,0,31.0,6.6499,2.0346646571213234,5.802562170308965,False,923.3918128654971,12.50631455504939
VMAR,2024-01-08 10:12:00+00:00,2024-01-08 10:22:00+00:00,1.34,1.386,73,3.3579999999999868,trailing_stop,3.4328358208955088,0,10.0,1.4,40.298507462686565,4.477611940298495,True,65.93406593406593,18.133333333333344
MESO,2024-01-10 14:47:00+00:00,2024-01-10 15:02:00+00:00,1.92,1.9503,384,11.635199999999998,trailing_stop,1.5781249999999996,0,15.0,1.97,1.0416666666666676,4.1614583333333375,False,95.09803921568627,18.999999999999986
RNAZ,2024-01-16 14:29:00+00:00,2024-01-16 14:32:00+00:00,4.6,4.182,33,-13.793999999999976,stop_loss,-9.086956521739115,0,3.0,4.63,18.47826086956521,0.6521739130434837,True,3607.865168539326,17.5
XOSWW,2024-01-16 20:21:00+00:00,2024-01-16 20:53:00+00:00,0.0329,0.0329,7058,0.0,max_hold_time,0.0,0,32.0,0.0329,38.60182370820669,0.0,False,91.86046511627907,20.070814156802058
NVVE,2024-01-22 14:29:00+00:00,2024-01-22 14:40:00+00:00,3.04,3.2175,121,21.47749999999997,trailing_stop,5.838815789473677,0,11.0,3.25,8.552631578947375,9.210526315789467,True,3886.3325740318905,10.3487423521414
PCSA,2024-01-22 14:29:00+00:00,2024-01-22 14:33:00+00:00,3.87,3.5661,66,-20.057400000000005,stop_loss,-7.852713178294575,0,4.0,3.912,36.821705426356594,1.0852713178294524,True,1767.84140969163,7.796692243976591
DTSS,2024-01-23 14:33:00+00:00,2024-01-23 14:47:00+00:00,1.5,2.2572,228,172.6416,trailing_stop,50.480000000000004,0,14.0,2.28,5.3333333333333375,51.99999999999999,False,1320.5607476635514,22.06876150407573
INSG,2024-01-24 15:02:00+00:00,2024-01-24 15:33:00+00:00,2.03,1.9535,427,-32.66549999999991,max_hold_time,-3.768472906403931,0,31.0,2.03,3.940886699507382,40.88669950738917,False,910.4712041884817,7.5
REVB,2024-01-25 14:29:00+00:00,2024-01-25 14:50:00+00:00,12.25,12.87,21,13.019999999999984,trailing_stop,5.0612244897959116,0,21.0,13.0,28.081632653061224,6.122448979591836,True,2700.65131425913,20.660434258142338
KAVL,2024-01-25 14:29:00+00:00,2024-01-25 14:35:00+00:00,3.05,2.8385,107,-22.6305,stop_loss,-6.9344262295081975,0,6.0,3.05,18.032786885245898,0.0,True,1861.165048543689,14.895437262357413
INO,2024-01-25 14:41:00+00:00,2024-01-25 14:51:00+00:00,6.46,6.5736,100,11.359999999999992,trailing_stop,1.7585139318885439,0,10.0,6.64,9.21052631578947,10.52631578947368,False,1007.0175438596491,17.5
INBS,2024-01-29 14:31:00+00:00,2024-01-29 14:41:00+00:00,2.88,2.9007,297,6.147900000000048,trailing_stop,0.7187500000000057,0,10.0,2.93,5.20833333333333,33.680555555555564,False,1233.3333333333333,7.065215670349395
RVSNW,2024-01-29 15:16:00+00:00,2024-01-29 15:21:00+00:00,0.25,0.2218,1927,-54.34140000000001,stop_loss,-11.280000000000001,0,5.0,0.26,48.480000000000004,4.0000000000000036,False,96.72131147540983,14.344135628398043
PLRX,2024-01-29 15:12:00+00:00,2024-01-29 15:43:00+00:00,17.34,17.36,55,1.0999999999999766,max_hold_time,0.11534025374855578,0,31.0,17.4,0.40369088811995546,8.3275663206459,False,74.02672864613595,20.0
PPTA,2024-01-29 17:00:00+00:00,2024-01-29 17:30:00+00:00,2.95,2.952,141,0.28199999999996894,max_hold_time,0.06779661016948406,0,30.0,2.96,1.3559322033898318,1.6949152542372818,False,60.0,25.0
GRI,2024-01-30 14:34:00+00:00,2024-01-30 14:45:00+00:00,3.0,3.0591,109,6.441899999999992,trailing_stop,1.9699999999999978,0,11.0,3.09,11.66666666666667,66.66666666666666,False,663.779527559055,15.782983025920705
CGEM,2024-01-30 10:18:00+00:00,2024-01-30 10:48:00+00:00,16.39,15.93,11,-5.060000000000009,max_hold_time,-2.806589383770597,0,30.0,16.39,12.995729103111659,-0.7321537522879865,True,57.4511126095752,10.267598842815815
GOVX,2024-01-31 15:11:00+00:00,2024-01-31 15:45:00+00:00,3.888,3.65,208,-49.504,max_hold_time,-6.121399176954732,0,34.0,3.888,16.409465020576132,-0.9773662551440281,False,1251.3513513513515,16.71045836023241
HCMC,2024-01-31 16:51:00+00:00,2024-01-31 17:40:00+00:00,1e-06,1e-06,408477,0.0,max_hold_time,0.0,0,49.0,5e-05,0.0,9900.000000000002,False,100.0,10.240018191988973
